bonsai,int8,cifar-binary,63.61,-5
bonsai,int8,cr-binary,68.399,-5
bonsai,int8,cr-multiclass,8.564,-6
bonsai,int8,curet-multiclass,22.024,-6
bonsai,int8,letter-multiclass,40.14,-4
bonsai,int8,mnist-binary,83.88,-5
bonsai,int8,mnist-multiclass,77.97,-5
bonsai,int8,usps-binary,63.528,-6
bonsai,int8,usps-multiclass,83.906,-5
bonsai,int8,ward-binary,79.13,-4
bonsai,int16,cifar-binary,75.49,-10
bonsai,int16,cr-binary,74.019,-11
bonsai,int16,cr-multiclass,10.339,-12
bonsai,int16,curet-multiclass,43.835,-11
bonsai,int16,letter-multiclass,64.76,-10
bonsai,int16,mnist-binary,95.94,-10
bonsai,int16,mnist-multiclass,93.36,-11
bonsai,int16,usps-binary,94.619,-11
bonsai,int16,usps-multiclass,91.679,-11
bonsai,int16,ward-binary,95.132,-8
bonsai,int32,cifar-binary,75.63,-19
bonsai,int32,cr-binary,73.913,-23
bonsai,int32,cr-multiclass,10.809,-18
bonsai,int32,curet-multiclass,45.189,-24
bonsai,int32,letter-multiclass,64.92,-24
bonsai,int32,mnist-binary,96.01,-20
bonsai,int32,mnist-multiclass,93.43,-25
bonsai,int32,usps-binary,94.519,-15
bonsai,int32,usps-multiclass,91.978,-21
bonsai,int32,ward-binary,95.236,-20
bonsai,float,cifar-binary,75.48,
bonsai,float,cr-binary,73.86,
bonsai,float,cr-multiclass,10.757,
bonsai,float,curet-multiclass,45.545,
bonsai,float,letter-multiclass,64.88,
bonsai,float,mnist-binary,95.98,
bonsai,float,mnist-multiclass,93.38,
bonsai,float,usps-binary,94.619,
bonsai,float,usps-multiclass,91.978,
bonsai,float,ward-binary,95.287,
protonn,int16,cifar-binary,75.4,-6
protonn,int16,cr-binary,70.785,-2
protonn,int16,cr-multiclass,31.593,-6
protonn,int16,curet-multiclass,50.463,-2
protonn,int16,letter-multiclass,76.72,-6
protonn,int16,mnist-binary,94.28,-6
protonn,int16,mnist-multiclass,91.44,-6
protonn,int16,usps-binary,94.17,-6
protonn,int16,usps-multiclass,91.978,-1
protonn,int16,ward-binary,94.2,-2
protonn,int32,cifar-binary,76.46,-13
protonn,int32,cr-binary,73.171,-14
protonn,int32,cr-multiclass,32.846,-10
protonn,int32,curet-multiclass,54.455,-15
protonn,int32,letter-multiclass,84.06,-17
protonn,int32,mnist-binary,95.22,-20
protonn,int32,mnist-multiclass,92.03,-19
protonn,int32,usps-binary,94.32,-13
protonn,int32,usps-multiclass,92.576,-13
protonn,int32,ward-binary,94.925,-14
protonn,float,cifar-binary,76.45,
protonn,float,cr-binary,72.906,
protonn,float,cr-multiclass,32.742,
protonn,float,curet-multiclass,54.526,
protonn,float,letter-multiclass,84.02,
protonn,float,mnist-binary,95.21,
protonn,float,mnist-multiclass,92.06,
protonn,float,usps-binary,94.27,
protonn,float,usps-multiclass,92.526,
protonn,float,ward-binary,94.873,
lenet,int16,cifar-multiclass,,
lenet,int32,cifar-multiclass,,
lenet,float32,cifar-multiclass,,
